品目名称,2018CY_YoY,2019CY_YoY,2020CY_YoY,2021CY_YoY,2022CY_YoY,2023CY_YoY,2024CY_YoY,2025CY_YoY
鉱工業,,-2.617801047120416,-10.39426523297491,5.400000000000005,-0.09487666034156961,-1.3295346628679927,-2.5986525505293567,-0.29644268774703386
製造工業,,-2.7027027027027084,-10.39426523297491,5.400000000000005,-0.09487666034156961,-1.2345679012345623,-2.692307692307694,-0.29644268774703386
鉱業,,-5.187835420393561,-5.660377358490565,-0.9000000000000008,-4.238143289606445,-6.638566912539523,-4.176072234762962,-4.47585394581862
